epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.7187,1.43411,2.7947,0.00166,0.881,0.85421,0.91982,0.57444,1.36663,0.92467,0.00251,0.000663317,0.000663317,0.000663317
2,160.793,1.36372,0.6826,0.0016,0.876,0.87573,0.93205,0.57993,1.34352,0.73806,0.00252,0.00131243,0.00131243,0.00131243
3,234.705,1.33033,0.61512,0.00155,0.86414,0.8728,0.92261,0.55022,1.45061,0.74688,0.00274,0.00194394,0.00194394,0.00194394
4,307.369,1.2699,0.57956,0.00151,0.90595,0.9227,0.95628,0.64798,1.19155,0.55701,0.00216,0.0019208,0.0019208,0.0019208
5,381.88,1.22785,0.53284,0.00143,0.89865,0.89237,0.94412,0.60787,1.33067,0.63672,0.0025,0.0018944,0.0018944,0.0018944
6,464.033,1.20791,0.45838,0.00136,0.87722,0.90185,0.94422,0.59139,1.34279,0.64765,0.00253,0.001868,0.001868,0.001868
7,547.935,1.18534,0.46271,0.00134,0.87001,0.85323,0.92542,0.59621,1.32715,0.66491,0.00251,0.0018416,0.0018416,0.0018416
8,626.395,1.15309,0.42851,0.00134,0.94255,0.91506,0.96421,0.63219,1.22555,0.52851,0.0022,0.0018152,0.0018152,0.0018152
9,705.394,1.15675,0.44992,0.0013,0.8563,0.91585,0.93112,0.61644,1.25952,0.58832,0.00234,0.0017888,0.0017888,0.0017888
10,786.068,1.15234,0.43463,0.0013,0.88125,0.90117,0.94679,0.63659,1.23756,0.62556,0.0023,0.0017624,0.0017624,0.0017624
11,864.622,1.12596,0.42273,0.00126,0.90552,0.91905,0.95058,0.63313,1.24448,0.56749,0.00236,0.001736,0.001736,0.001736
12,944.966,1.10754,0.42975,0.00121,0.89132,0.91487,0.95471,0.6476,1.19337,0.53957,0.00217,0.0017096,0.0017096,0.0017096
13,1023.53,1.09007,0.40487,0.0012,0.9024,0.90509,0.96044,0.66978,1.15616,0.54691,0.00214,0.0016832,0.0016832,0.0016832
14,1103.65,1.09612,0.4016,0.00125,0.89071,0.92074,0.9554,0.63413,1.21505,0.57958,0.0022,0.0016568,0.0016568,0.0016568
15,1182.33,1.06103,0.37631,0.00111,0.87304,0.94199,0.95702,0.65785,1.15758,0.553,0.00208,0.0016304,0.0016304,0.0016304
16,1262.3,1.06227,0.35709,0.00115,0.87729,0.91879,0.95301,0.63701,1.2199,0.59052,0.00233,0.001604,0.001604,0.001604
17,1362.12,1.06206,0.37941,0.00117,0.87681,0.90802,0.94541,0.62667,1.21306,0.61716,0.00233,0.0015776,0.0015776,0.0015776
18,1441.1,1.05474,0.37958,0.00115,0.90461,0.89079,0.93622,0.63473,1.23704,0.65669,0.00241,0.0015512,0.0015512,0.0015512
19,1520.73,1.03136,0.35632,0.00115,0.9018,0.94031,0.96289,0.65373,1.14535,0.51035,0.00207,0.0015248,0.0015248,0.0015248
20,1599.43,1.02442,0.35338,0.00114,0.88982,0.90877,0.94834,0.6399,1.20659,0.53866,0.00225,0.0014984,0.0014984,0.0014984
21,1677.91,1.03891,0.36218,0.00113,0.86914,0.90802,0.95178,0.6294,1.24663,0.57067,0.00238,0.001472,0.001472,0.001472
22,1757.83,1.00773,0.35375,0.00111,0.89724,0.91781,0.95706,0.647,1.17813,0.49875,0.00221,0.0014456,0.0014456,0.0014456
23,1836.55,1.02741,0.35573,0.00115,0.88126,0.8932,0.94927,0.64751,1.22138,0.59517,0.00238,0.0014192,0.0014192,0.0014192
24,2432.22,1.00013,0.34635,0.00112,0.88941,0.93641,0.95851,0.66043,1.14673,0.49864,0.00205,0.0013928,0.0013928,0.0013928
25,2505.17,0.99721,0.33822,0.00109,0.92,0.92564,0.96533,0.66047,1.18149,0.4796,0.00226,0.0013664,0.0013664,0.0013664
26,2577.91,1.00109,0.32835,0.00108,0.92669,0.91529,0.96597,0.66079,1.16502,0.50495,0.00205,0.00134,0.00134,0.00134
27,2649.29,0.97855,0.33368,0.00107,0.9142,0.91747,0.96491,0.67502,1.11867,0.50967,0.00207,0.0013136,0.0013136,0.0013136
28,2722.67,0.97624,0.3224,0.00105,0.8933,0.90802,0.94894,0.65404,1.15717,0.54158,0.00216,0.0012872,0.0012872,0.0012872
29,2795.76,0.96878,0.33138,0.00104,0.91227,0.93346,0.96562,0.67774,1.11013,0.48524,0.00207,0.0012608,0.0012608,0.0012608
