epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.453,1.49162,2.41202,0.00175,0.84908,0.87573,0.90537,0.55703,1.3233,1.02507,0.0024,0.000663317,0.000663317,0.000663317
2,136.557,1.4181,0.74965,0.00164,0.87979,0.88799,0.93897,0.57855,1.37193,0.74992,0.00255,0.00131243,0.00131243,0.00131243
3,200.497,1.36581,0.64146,0.00155,0.88292,0.83366,0.9132,0.56025,1.36806,0.73353,0.00247,0.00194394,0.00194394,0.00194394
4,264.385,1.35606,0.52054,0.00162,0.86849,0.91292,0.94325,0.59789,1.34599,0.5893,0.00243,0.0019208,0.0019208,0.0019208
5,328.198,1.27237,0.53171,0.00148,0.86573,0.89584,0.93062,0.60354,1.25923,0.6996,0.00228,0.0018944,0.0018944,0.0018944
6,392.726,1.24198,0.49228,0.00135,0.86617,0.87867,0.93027,0.58567,1.32316,0.69865,0.0025,0.001868,0.001868,0.001868
7,456.643,1.2354,0.43844,0.00135,0.88938,0.88105,0.94863,0.6046,1.28866,0.63213,0.00226,0.0018416,0.0018416,0.0018416
8,520.38,1.20477,0.44677,0.00134,0.92712,0.90872,0.95925,0.64544,1.21072,0.5634,0.00221,0.0018152,0.0018152,0.0018152
9,585.498,1.19108,0.4347,0.00129,0.91394,0.90998,0.95686,0.62582,1.25083,0.55753,0.00233,0.0017888,0.0017888,0.0017888
10,649.997,1.18038,0.43111,0.00132,0.90656,0.88282,0.94743,0.62409,1.25868,0.58157,0.00236,0.0017624,0.0017624,0.0017624
11,714.69,1.14904,0.41282,0.00129,0.93772,0.89861,0.96457,0.61257,1.31436,0.51892,0.00244,0.001736,0.001736,0.001736
12,778.286,1.13701,0.43331,0.0012,0.87558,0.92564,0.95259,0.6223,1.28693,0.55305,0.00244,0.0017096,0.0017096,0.0017096
13,842.578,1.12065,0.39984,0.00121,0.88562,0.92074,0.9527,0.6282,1.27793,0.54327,0.00235,0.0016832,0.0016832,0.0016832
14,906.662,1.13573,0.41576,0.0013,0.88416,0.90509,0.94634,0.63253,1.19349,0.61928,0.00216,0.0016568,0.0016568,0.0016568
15,970.607,1.13445,0.4054,0.00121,0.87796,0.91585,0.95157,0.64143,1.1972,0.60002,0.00214,0.0016304,0.0016304,0.0016304
16,1034.72,1.06778,0.3818,0.00113,0.91192,0.90163,0.95771,0.65477,1.18071,0.53326,0.00213,0.001604,0.001604,0.001604
17,1098.61,1.08802,0.38433,0.00122,0.90507,0.89335,0.94799,0.61758,1.26151,0.61605,0.00244,0.0015776,0.0015776,0.0015776
18,1162.29,1.09126,0.3711,0.00117,0.92934,0.90079,0.95159,0.64788,1.17842,0.52971,0.00212,0.0015512,0.0015512,0.0015512
19,1226.39,1.08755,0.38831,0.0012,0.8805,0.93007,0.95232,0.64532,1.17653,0.65959,0.00206,0.0015248,0.0015248,0.0015248
20,1289.83,1.10049,0.38842,0.00123,0.90193,0.91788,0.96203,0.65016,1.18579,0.56002,0.00215,0.0014984,0.0014984,0.0014984
21,1353.84,1.07067,0.38497,0.00113,0.88453,0.91442,0.95219,0.6387,1.24878,0.5947,0.00231,0.001472,0.001472,0.001472
22,1417.6,1.03632,0.37587,0.00114,0.89865,0.9023,0.96128,0.66573,1.15899,0.49411,0.00207,0.0014456,0.0014456,0.0014456
23,1481.16,1.05085,0.3656,0.00116,0.90582,0.94104,0.96507,0.66868,1.14496,0.47493,0.00201,0.0014192,0.0014192,0.0014192
24,1545.68,1.02715,0.36819,0.00113,0.89111,0.9449,0.96545,0.64881,1.17312,0.5547,0.00211,0.0013928,0.0013928,0.0013928
25,1611.73,1.02975,0.36584,0.00112,0.89094,0.94423,0.96545,0.6826,1.11561,0.51914,0.00205,0.0013664,0.0013664,0.0013664
26,1672.16,0.99884,0.35614,0.00107,0.91313,0.88453,0.95729,0.6512,1.17051,0.57035,0.00217,0.00134,0.00134,0.00134
27,1734.13,1.00695,0.34151,0.00109,0.92787,0.91891,0.9641,0.67042,1.14652,0.50841,0.00211,0.0013136,0.0013136,0.0013136
28,1795.39,1.00868,0.32006,0.00106,0.92382,0.90186,0.95101,0.63619,1.23696,0.56582,0.00248,0.0012872,0.0012872,0.0012872
29,1856.67,0.99811,0.33418,0.00109,0.91519,0.91977,0.96448,0.68065,1.11333,0.49777,0.00211,0.0012608,0.0012608,0.0012608
30,1917.61,1.00477,0.34458,0.00107,0.91098,0.91487,0.961,0.68676,1.11134,0.54371,0.00215,0.0012344,0.0012344,0.0012344
