epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.528,0.89516,0.31248,0.00099,0.91881,0.95054,0.97301,0.74795,0.90957,0.34332,0.00146,0.000665041,0.000665041,0.000665041
2,344.518,0.96841,0.34769,0.00108,0.93463,0.93281,0.97245,0.75001,0.91529,0.39565,0.00148,0.00131413,0.00131413,0.00131413
3,518.962,0.98621,0.34613,0.00109,0.92869,0.94341,0.97948,0.74215,0.93878,0.38339,0.00151,0.00194562,0.00194562,0.00194562
4,688.177,0.99765,0.34509,0.00111,0.91209,0.95538,0.97992,0.74756,0.90279,0.38215,0.00142,0.0019208,0.0019208,0.0019208
5,870.957,0.99164,0.34509,0.00111,0.93263,0.95853,0.98315,0.72633,0.97951,0.37205,0.00163,0.0018944,0.0018944,0.0018944
6,1042.05,0.99922,0.35193,0.00112,0.93721,0.9638,0.98336,0.73759,0.93944,0.36057,0.00152,0.001868,0.001868,0.001868
7,1212.88,0.99981,0.3408,0.00111,0.92883,0.94541,0.97831,0.72411,1.00262,0.40452,0.00165,0.0018416,0.0018416,0.0018416
8,1386.15,0.98418,0.33991,0.00112,0.92913,0.95118,0.97995,0.74363,0.94349,0.38185,0.00154,0.0018152,0.0018152,0.0018152
9,1559.72,0.98971,0.33621,0.00108,0.94218,0.92377,0.98,0.74737,0.94134,0.39404,0.00155,0.0017888,0.0017888,0.0017888
10,1742.51,0.9501,0.3324,0.00104,0.92913,0.96063,0.98199,0.75068,0.92393,0.36372,0.00151,0.0017624,0.0017624,0.0017624
11,1925.96,0.95972,0.33702,0.00106,0.91087,0.96063,0.97654,0.74372,0.91537,0.39607,0.00146,0.001736,0.001736,0.001736
12,2097.58,0.95145,0.33742,0.00105,0.92068,0.95052,0.98025,0.76017,0.90215,0.39111,0.00151,0.0017096,0.0017096,0.0017096
13,2268.37,0.95556,0.3215,0.00104,0.93266,0.94173,0.9726,0.74294,0.94419,0.37716,0.00156,0.0016832,0.0016832,0.0016832
14,2439.5,0.93327,0.30935,0.00102,0.91976,0.94961,0.98032,0.76067,0.8889,0.36703,0.00141,0.0016568,0.0016568,0.0016568
15,2619.58,0.95131,0.31854,0.00102,0.9388,0.92808,0.98124,0.75533,0.89859,0.39461,0.00143,0.0016304,0.0016304,0.0016304
