epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.2963,1.06158,0.40123,0.00116,0.91505,0.91602,0.96268,0.68192,1.10348,0.48731,0.00176,0.000665041,0.000665041,0.000665041
2,172.789,1.11616,0.41848,0.00123,0.93814,0.9394,0.97033,0.70035,1.04697,0.41749,0.00166,0.00131413,0.00131413,0.00131413
3,257.668,1.10439,0.43164,0.00118,0.93617,0.89081,0.95815,0.64755,1.20101,0.52334,0.002,0.00194562,0.00194562,0.00194562
4,338.54,1.14213,0.43913,0.00124,0.92673,0.90289,0.95971,0.68722,1.06002,0.48365,0.00165,0.0019208,0.0019208,0.0019208
5,423.757,1.10627,0.41079,0.00119,0.91859,0.91969,0.9633,0.67275,1.11092,0.47288,0.00185,0.0018944,0.0018944,0.0018944
6,507.136,1.09545,0.41159,0.00121,0.91434,0.94689,0.97642,0.68809,1.09546,0.43701,0.00177,0.001868,0.001868,0.001868
7,591.614,1.13502,0.41377,0.00122,0.92208,0.91937,0.96657,0.70479,1.03239,0.43423,0.00161,0.0018416,0.0018416,0.0018416
8,671.259,1.09292,0.4097,0.00122,0.92589,0.92477,0.96495,0.66707,1.14664,0.46611,0.00188,0.0018152,0.0018152,0.0018152
9,755.976,1.10818,0.40941,0.00118,0.9337,0.92441,0.97072,0.69672,1.03518,0.44724,0.00162,0.0017888,0.0017888,0.0017888
10,843.62,1.08718,0.40264,0.00116,0.92911,0.92198,0.96564,0.62645,1.29136,0.48464,0.00225,0.0017624,0.0017624,0.0017624
11,945.335,1.08312,0.39664,0.00117,0.92027,0.93596,0.9667,0.70227,1.0365,0.43597,0.00162,0.001736,0.001736,0.001736
12,1034.58,1.09264,0.39993,0.00119,0.89485,0.93596,0.96323,0.69007,1.07031,0.51453,0.00177,0.0017096,0.0017096,0.0017096
13,1123.1,1.07021,0.38699,0.00114,0.92223,0.89606,0.95857,0.70325,1.02143,0.49101,0.00168,0.0016832,0.0016832,0.0016832
14,1212.34,1.04677,0.37155,0.00112,0.9362,0.93976,0.969,0.68778,1.08559,0.43405,0.00171,0.0016568,0.0016568,0.0016568
15,1301.74,1.07401,0.38132,0.00114,0.92688,0.90491,0.96125,0.68493,1.09065,0.45938,0.00181,0.0016304,0.0016304,0.0016304
