epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1799,1.17747,0.42782,0.00131,0.92424,0.90931,0.96002,0.67934,1.15044,0.50735,0.00183,0.000665041,0.000665041,0.000665041
2,146.344,1.2535,0.44164,0.0014,0.92756,0.91496,0.96474,0.65345,1.19495,0.46041,0.00182,0.00131413,0.00131413,0.00131413
3,215.545,1.28866,0.46556,0.00142,0.9093,0.91339,0.95747,0.67065,1.14881,0.50327,0.0018,0.00194562,0.00194562,0.00194562
4,283.832,1.27094,0.45437,0.0014,0.8887,0.91791,0.95535,0.62919,1.28385,0.51992,0.00203,0.0019208,0.0019208,0.0019208
5,353.239,1.27526,0.45169,0.00142,0.91016,0.91916,0.9573,0.66227,1.16262,0.46733,0.0018,0.0018944,0.0018944,0.0018944
6,417.713,1.25279,0.45036,0.0014,0.92243,0.92386,0.96312,0.64321,1.2429,0.50384,0.002,0.001868,0.001868,0.001868
7,485.891,1.28829,0.4661,0.00144,0.90791,0.91604,0.95006,0.62708,1.27908,0.49744,0.00203,0.0018416,0.0018416,0.0018416
8,550.97,1.22991,0.4469,0.00138,0.92218,0.91339,0.95954,0.63432,1.24983,0.48382,0.00209,0.0018152,0.0018152,0.0018152
9,620.464,1.28807,0.45451,0.00142,0.91667,0.9182,0.95898,0.66719,1.17778,0.4806,0.00186,0.0017888,0.0017888,0.0017888
10,688.776,1.24212,0.45628,0.00136,0.9211,0.89473,0.95361,0.65575,1.19696,0.5024,0.00188,0.0017624,0.0017624,0.0017624
11,754.788,1.26585,0.44825,0.00141,0.91775,0.91956,0.96195,0.66495,1.16591,0.47023,0.00182,0.001736,0.001736,0.001736
12,823.507,1.23797,0.44295,0.00137,0.9039,0.93491,0.96132,0.67712,1.13448,0.47616,0.00178,0.0017096,0.0017096,0.0017096
13,892.773,1.24553,0.4428,0.00137,0.92132,0.92204,0.96249,0.68412,1.13492,0.44815,0.0018,0.0016832,0.0016832,0.0016832
14,957.699,1.20481,0.41341,0.00133,0.92608,0.93701,0.96807,0.66488,1.17296,0.45365,0.0019,0.0016568,0.0016568,0.0016568
15,1022.93,1.1911,0.42306,0.0013,0.92198,0.90566,0.94961,0.67615,1.1327,0.50154,0.00181,0.0016304,0.0016304,0.0016304
16,1091.44,1.18383,0.41811,0.0013,0.91404,0.90131,0.946,0.67881,1.11914,0.51527,0.00174,0.001604,0.001604,0.001604
17,1159.98,1.21323,0.42399,0.00135,0.91419,0.93543,0.96333,0.69086,1.11453,0.45401,0.00174,0.0015776,0.0015776,0.0015776
18,1229.09,1.19862,0.41494,0.00131,0.92592,0.91601,0.95094,0.64389,1.19427,0.49013,0.00192,0.0015512,0.0015512,0.0015512
19,1297.21,1.18639,0.39894,0.00129,0.93155,0.92163,0.96194,0.68552,1.10193,0.44992,0.0018,0.0015248,0.0015248,0.0015248
20,1365.46,1.17803,0.4046,0.00128,0.91155,0.91424,0.95598,0.64988,1.21095,0.51269,0.00205,0.0014984,0.0014984,0.0014984
21,1433.68,1.1606,0.39684,0.00127,0.93122,0.92021,0.96206,0.68135,1.12467,0.46802,0.00173,0.001472,0.001472,0.001472
22,1501.81,1.15322,0.40188,0.00126,0.92985,0.9046,0.95342,0.66829,1.16204,0.48027,0.00185,0.0014456,0.0014456,0.0014456
23,1569.99,1.16059,0.39297,0.00126,0.91731,0.91424,0.95923,0.6877,1.10976,0.47696,0.00177,0.0014192,0.0014192,0.0014192
24,1638.58,1.16761,0.40133,0.00126,0.92585,0.93074,0.96265,0.6846,1.12079,0.46042,0.00178,0.0013928,0.0013928,0.0013928
25,1711.27,1.12419,0.39038,0.00123,0.93084,0.91339,0.96222,0.69812,1.06848,0.43976,0.00167,0.0013664,0.0013664,0.0013664
26,1776.7,1.13825,0.3712,0.00123,0.93276,0.9103,0.95308,0.68766,1.07842,0.47276,0.00165,0.00134,0.00134,0.00134
27,1846.07,1.11186,0.36915,0.00119,0.92854,0.91391,0.96332,0.68647,1.10684,0.4415,0.00178,0.0013136,0.0013136,0.0013136
28,1914.63,1.11326,0.36856,0.0012,0.93341,0.91234,0.95499,0.68202,1.09814,0.48518,0.00167,0.0012872,0.0012872,0.0012872
29,1980.5,1.11159,0.35903,0.00123,0.9169,0.92021,0.96164,0.67167,1.13379,0.47265,0.0018,0.0012608,0.0012608,0.0012608
30,2050.76,1.09845,0.35529,0.00118,0.9385,0.92126,0.96412,0.69976,1.08462,0.45028,0.00173,0.0012344,0.0012344,0.0012344
31,2105.72,1.08695,0.35888,0.00118,0.92682,0.92405,0.95693,0.70921,1.02694,0.46216,0.00155,0.001208,0.001208,0.001208
32,2160.22,1.09909,0.36259,0.00115,0.92311,0.92009,0.95475,0.68682,1.09943,0.47202,0.00171,0.0011816,0.0011816,0.0011816
33,2215.71,1.10865,0.37159,0.00116,0.93066,0.90814,0.96404,0.69866,1.07247,0.4598,0.0017,0.0011552,0.0011552,0.0011552
34,2282.67,1.09291,0.37048,0.00117,0.90598,0.94086,0.96351,0.67837,1.13847,0.45854,0.00179,0.0011288,0.0011288,0.0011288
35,2351.27,1.07378,0.35784,0.00113,0.93588,0.89606,0.95326,0.70189,1.04685,0.48666,0.00166,0.0011024,0.0011024,0.0011024
36,2419.78,1.0544,0.35601,0.00113,0.91715,0.94593,0.96456,0.69899,1.08276,0.42945,0.0017,0.001076,0.001076,0.001076
37,2489.06,1.07012,0.34745,0.00115,0.92151,0.91831,0.9532,0.6884,1.08633,0.4946,0.00171,0.0010496,0.0010496,0.0010496
38,2555.52,1.04941,0.34214,0.00111,0.92622,0.92861,0.96215,0.70438,1.05498,0.45,0.00163,0.0010232,0.0010232,0.0010232
39,2622.73,1.05231,0.34499,0.0011,0.92507,0.93965,0.96483,0.72289,1.00552,0.41257,0.00154,0.0009968,0.0009968,0.0009968
40,2691.63,1.05376,0.3414,0.00112,0.93158,0.92913,0.96484,0.72073,1.00454,0.42429,0.00152,0.0009704,0.0009704,0.0009704
41,2758.37,1.04372,0.34216,0.00109,0.92939,0.93543,0.96739,0.71516,1.03985,0.41923,0.00164,0.000944,0.000944,0.000944
42,2820.84,1.04178,0.33695,0.0011,0.9313,0.93806,0.96733,0.71413,1.03662,0.4199,0.00162,0.0009176,0.0009176,0.0009176
43,2889.05,1.02349,0.32358,0.00108,0.92773,0.94337,0.96882,0.71546,1.03946,0.41432,0.00161,0.0008912,0.0008912,0.0008912
44,2958.63,1.04236,0.33303,0.00108,0.93641,0.93529,0.96638,0.71658,1.02414,0.42265,0.00158,0.0008648,0.0008648,0.0008648
45,3027.66,1.02106,0.32999,0.0011,0.93285,0.9335,0.95779,0.68843,1.09774,0.45593,0.00177,0.0008384,0.0008384,0.0008384
46,3095.86,1.02556,0.3268,0.00107,0.93938,0.92734,0.96604,0.7152,1.02202,0.43709,0.00159,0.000812,0.000812,0.000812
