epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1306,1.633,9.12026,0.00189,0.64747,0.75245,0.73746,0.43516,1.28723,6.93925,0.00221,0.000663317,0.000663317,0.000663317
2,83.3003,1.44338,4.40436,0.00162,0.8037,0.7818,0.86791,0.51255,1.3439,3.34096,0.00232,0.00131243,0.00131243,0.00131243
3,124.442,1.41629,2.26496,0.00155,0.81861,0.80809,0.88645,0.55282,1.2993,2.00017,0.00236,0.00194394,0.00194394,0.00194394
4,163.989,1.35808,1.53561,0.00154,0.82547,0.85127,0.91086,0.57177,1.31252,1.34635,0.00233,0.0019208,0.0019208,0.0019208
5,202.923,1.33571,1.064,0.0015,0.836,0.83798,0.89451,0.54013,1.36479,1.12958,0.00253,0.0018944,0.0018944,0.0018944
6,241.662,1.30219,0.87648,0.00139,0.85258,0.83562,0.90356,0.56884,1.3597,0.97959,0.00247,0.001868,0.001868,0.001868
7,280.209,1.29445,0.76566,0.00138,0.80857,0.83486,0.8861,0.5495,1.3102,0.93216,0.00245,0.0018416,0.0018416,0.0018416
8,318.592,1.26737,0.72508,0.00139,0.86354,0.82354,0.90599,0.58141,1.25429,0.83014,0.00223,0.0018152,0.0018152,0.0018152
9,356.426,1.23398,0.66801,0.00131,0.86164,0.83757,0.91582,0.59011,1.26234,0.78009,0.00223,0.0017888,0.0017888,0.0017888
10,393.569,1.22975,0.60373,0.0013,0.84912,0.91408,0.93022,0.62423,1.20599,0.68714,0.00213,0.0017624,0.0017624,0.0017624
11,432.112,1.21004,0.58618,0.00128,0.89205,0.87324,0.93574,0.6078,1.25116,0.67222,0.00218,0.001736,0.001736,0.001736
12,470.881,1.21922,0.55796,0.00129,0.84826,0.90117,0.92858,0.58842,1.3254,0.68764,0.00241,0.0017096,0.0017096,0.0017096
