epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.561,0.97271,0.35286,0.00104,0.9442,0.88825,0.96856,0.71208,1.027,0.43357,0.00162,0.000665041,0.000665041,0.000665041
2,210.589,1.03108,0.38669,0.00111,0.94514,0.91337,0.96811,0.71872,0.99212,0.4439,0.0016,0.00131413,0.00131413,0.00131413
3,318.17,1.04786,0.39762,0.00111,0.92858,0.89974,0.95207,0.68127,1.08901,0.49392,0.0017,0.00194562,0.00194562,0.00194562
4,421.95,1.07061,0.40697,0.00115,0.92473,0.91969,0.96391,0.69409,1.06501,0.43456,0.00174,0.0019208,0.0019208,0.0019208
5,527.546,1.05846,0.38569,0.00114,0.91156,0.91759,0.9636,0.67866,1.11425,0.47756,0.00185,0.0018944,0.0018944,0.0018944
6,632.828,1.04103,0.3786,0.00113,0.91885,0.93911,0.97472,0.71568,1.00154,0.43503,0.00163,0.001868,0.001868,0.001868
7,738.494,1.05609,0.38696,0.00113,0.93583,0.92336,0.97696,0.7239,0.98111,0.39897,0.00155,0.0018416,0.0018416,0.0018416
8,844.076,1.02161,0.37289,0.00113,0.91312,0.90814,0.96392,0.67416,1.13044,0.47413,0.00189,0.0018152,0.0018152,0.0018152
9,949.207,1.03069,0.36867,0.00109,0.91278,0.92546,0.96319,0.70316,1.02132,0.45112,0.00162,0.0017888,0.0017888,0.0017888
10,1054.49,1.01009,0.36902,0.00107,0.93001,0.93281,0.97592,0.7269,0.9689,0.41057,0.00155,0.0017624,0.0017624,0.0017624
11,1159.62,1.01732,0.37438,0.00109,0.92027,0.9391,0.9744,0.72742,0.94592,0.40544,0.00147,0.001736,0.001736,0.001736
12,1265.3,1.01794,0.3764,0.00108,0.93071,0.91286,0.96655,0.68868,1.06228,0.47975,0.00173,0.0017096,0.0017096,0.0017096
13,1371.07,1.00634,0.36532,0.00106,0.92354,0.91286,0.96431,0.70083,1.01427,0.48954,0.00164,0.0016832,0.0016832,0.0016832
14,1476.9,0.99528,0.34821,0.00106,0.9205,0.93018,0.96655,0.71621,0.98005,0.4297,0.00155,0.0016568,0.0016568,0.0016568
15,1581.84,0.99487,0.34849,0.00105,0.91915,0.91309,0.96451,0.68118,1.10005,0.47585,0.0018,0.0016304,0.0016304,0.0016304
16,1687.5,0.98828,0.3517,0.00106,0.93318,0.89764,0.96279,0.72168,0.96935,0.43666,0.00155,0.001604,0.001604,0.001604
17,1794.33,0.98995,0.35397,0.00108,0.92556,0.92756,0.97667,0.7375,0.92626,0.40449,0.00148,0.0015776,0.0015776,0.0015776
18,1899.74,0.97704,0.33734,0.00103,0.92155,0.91811,0.97234,0.71312,1.02377,0.45308,0.00169,0.0015512,0.0015512,0.0015512
19,2008.08,0.97812,0.34229,0.00104,0.9283,0.91749,0.96258,0.72048,0.98027,0.44665,0.00165,0.0015248,0.0015248,0.0015248
20,2114.29,0.96958,0.33662,0.00102,0.9217,0.92066,0.97217,0.70264,1.05609,0.43059,0.00172,0.0014984,0.0014984,0.0014984
21,2216.72,0.94058,0.32662,0.00099,0.93868,0.90803,0.97174,0.73592,0.92598,0.43687,0.00149,0.001472,0.001472,0.001472
22,2322.28,0.94243,0.32473,0.00098,0.9206,0.92506,0.966,0.72293,0.94893,0.44721,0.00152,0.0014456,0.0014456,0.0014456
23,2428.61,0.94751,0.31888,0.00099,0.91782,0.92046,0.97226,0.74251,0.91009,0.40257,0.00143,0.0014192,0.0014192,0.0014192
24,2533.86,0.94807,0.33747,0.001,0.93125,0.92431,0.96793,0.7315,0.94975,0.42392,0.00151,0.0013928,0.0013928,0.0013928
25,2640.32,0.93419,0.32529,0.00099,0.91948,0.91711,0.97324,0.73451,0.93853,0.43063,0.0015,0.0013664,0.0013664,0.0013664
26,2745.39,0.94296,0.31788,0.00099,0.92848,0.92,0.97624,0.73813,0.93113,0.4154,0.00147,0.00134,0.00134,0.00134
27,2851.31,0.91877,0.31726,0.00094,0.92958,0.93548,0.97656,0.74244,0.91563,0.3969,0.00144,0.0013136,0.0013136,0.0013136
28,2956.97,0.91129,0.30746,0.00095,0.92456,0.93806,0.97592,0.74544,0.91235,0.41218,0.00143,0.0012872,0.0012872,0.0012872
29,3062.06,0.9117,0.31503,0.00097,0.93073,0.93095,0.97304,0.72276,0.98281,0.42623,0.00161,0.0012608,0.0012608,0.0012608
30,3168.13,0.90522,0.30491,0.00095,0.91816,0.93047,0.9776,0.74844,0.91795,0.40221,0.00148,0.0012344,0.0012344,0.0012344
31,3273.36,0.92441,0.30425,0.00095,0.91781,0.93963,0.97179,0.752,0.89782,0.40458,0.00143,0.001208,0.001208,0.001208
32,3378.6,0.89375,0.30065,0.0009,0.93401,0.93071,0.97733,0.74196,0.92549,0.38814,0.00146,0.0011816,0.0011816,0.0011816
33,3484.03,0.90734,0.31198,0.00092,0.94808,0.91181,0.97867,0.74648,0.91362,0.41301,0.00147,0.0011552,0.0011552,0.0011552
34,3591.18,0.90107,0.30239,0.00093,0.9139,0.91933,0.97336,0.74103,0.92745,0.41837,0.00147,0.0011288,0.0011288,0.0011288
35,3696.44,0.88983,0.29449,0.00092,0.92461,0.92064,0.96775,0.74336,0.89881,0.43538,0.00146,0.0011024,0.0011024,0.0011024
36,3801.44,0.87203,0.29125,0.0009,0.9379,0.91234,0.9767,0.74249,0.93328,0.40527,0.00146,0.001076,0.001076,0.001076
37,3907.13,0.87816,0.29004,0.0009,0.92113,0.90127,0.9636,0.74913,0.88697,0.45861,0.00141,0.0010496,0.0010496,0.0010496
38,4012.12,0.8755,0.29112,0.00089,0.93275,0.91742,0.96573,0.7408,0.89505,0.42552,0.00139,0.0010232,0.0010232,0.0010232
39,4117.71,0.87138,0.29168,0.00088,0.92023,0.93863,0.97811,0.7539,0.89013,0.38819,0.00141,0.0009968,0.0009968,0.0009968
40,4223.7,0.86132,0.28721,0.00089,0.92615,0.91706,0.977,0.75825,0.87495,0.40889,0.00135,0.0009704,0.0009704,0.0009704
41,4329.91,0.87268,0.28813,0.00087,0.92353,0.92562,0.97743,0.7469,0.89739,0.41086,0.00139,0.000944,0.000944,0.000944
42,4435.53,0.85909,0.29078,0.00088,0.92148,0.92493,0.97314,0.74097,0.91219,0.42008,0.00143,0.0009176,0.0009176,0.0009176
43,4542.03,0.84761,0.27903,0.00086,0.91376,0.94552,0.97766,0.75505,0.89518,0.39159,0.00141,0.0008912,0.0008912,0.0008912
44,4648.28,0.85825,0.27889,0.00085,0.92722,0.92294,0.97602,0.75949,0.84924,0.38152,0.00129,0.0008648,0.0008648,0.0008648
45,4754.29,0.84224,0.27475,0.00086,0.9302,0.91643,0.97505,0.74729,0.9079,0.42487,0.00144,0.0008384,0.0008384,0.0008384
46,4860.65,0.84263,0.27878,0.00085,0.92887,0.93907,0.97686,0.76054,0.86131,0.39523,0.00134,0.000812,0.000812,0.000812
47,4966.99,0.83991,0.28158,0.00085,0.92749,0.93333,0.97657,0.755,0.85376,0.43271,0.00129,0.0007856,0.0007856,0.0007856
48,5073.17,0.83705,0.26914,0.00084,0.92183,0.93469,0.97662,0.75867,0.8657,0.41248,0.00134,0.0007592,0.0007592,0.0007592
49,5179.22,0.81723,0.26277,0.00085,0.90945,0.94121,0.97565,0.75022,0.86707,0.43226,0.00134,0.0007328,0.0007328,0.0007328
50,5284.84,0.82011,0.26546,0.00082,0.93674,0.90131,0.96783,0.7527,0.8522,0.44738,0.00129,0.0007064,0.0007064,0.0007064
51,5390.93,0.8258,0.26487,0.00084,0.89938,0.95171,0.96909,0.75804,0.85416,0.40797,0.00132,0.00068,0.00068,0.00068
52,5495.35,0.82361,0.26639,0.00083,0.91656,0.9457,0.97824,0.76331,0.84023,0.40641,0.00129,0.0006536,0.0006536,0.0006536
53,5600.65,0.81974,0.26302,0.00083,0.93077,0.91286,0.96636,0.75233,0.86247,0.42602,0.00135,0.0006272,0.0006272,0.0006272
54,5706.23,0.80632,0.2631,0.00081,0.91901,0.93071,0.97554,0.75655,0.86421,0.41653,0.00135,0.0006008,0.0006008,0.0006008
55,5812.07,0.81199,0.26226,0.00081,0.90875,0.93281,0.96831,0.75066,0.88349,0.44011,0.00141,0.0005744,0.0005744,0.0005744
56,5917.24,0.79545,0.25552,0.00079,0.93294,0.90866,0.9679,0.749,0.87073,0.45539,0.00135,0.000548,0.000548,0.000548
57,6023.29,0.7956,0.25891,0.0008,0.93177,0.91444,0.95948,0.75103,0.86031,0.47736,0.00135,0.0005216,0.0005216,0.0005216
58,6129.02,0.80609,0.25774,0.0008,0.92054,0.93228,0.96909,0.75731,0.86409,0.43529,0.00133,0.0004952,0.0004952,0.0004952
59,6233.97,0.78764,0.25325,0.00077,0.93088,0.92607,0.97767,0.75931,0.86328,0.40704,0.00135,0.0004688,0.0004688,0.0004688
60,6340.15,0.79014,0.25454,0.00079,0.91944,0.94016,0.96975,0.76078,0.85056,0.4065,0.00132,0.0004424,0.0004424,0.0004424
61,6445.94,0.78816,0.25554,0.00078,0.90733,0.93333,0.96775,0.76132,0.84297,0.4271,0.0013,0.000416,0.000416,0.000416
62,6551.67,0.77355,0.25036,0.00076,0.92569,0.93517,0.97014,0.76098,0.83886,0.40365,0.00128,0.0003896,0.0003896,0.0003896
63,6657.45,0.7767,0.2548,0.00077,0.92681,0.93723,0.96969,0.763,0.8263,0.41959,0.00125,0.0003632,0.0003632,0.0003632
64,6763.31,0.78199,0.25173,0.00077,0.9219,0.93228,0.96126,0.76527,0.81955,0.43045,0.00126,0.0003368,0.0003368,0.0003368
65,6869.17,0.78221,0.25669,0.00078,0.94315,0.89974,0.96006,0.7623,0.82095,0.44571,0.00125,0.0003104,0.0003104,0.0003104
66,6974.48,0.74616,0.23528,0.00083,0.90633,0.94469,0.9697,0.76558,0.8266,0.40488,0.00126,0.000284,0.000284,0.000284
67,7078.66,0.73328,0.22861,0.0008,0.9242,0.93447,0.96987,0.76327,0.82933,0.41543,0.00126,0.0002576,0.0002576,0.0002576
68,7182.04,0.7255,0.22675,0.0008,0.91253,0.93648,0.96875,0.76039,0.83043,0.42643,0.00126,0.0002312,0.0002312,0.0002312
69,7287.03,0.73123,0.22728,0.00081,0.91295,0.93595,0.96883,0.76147,0.82465,0.4274,0.00124,0.0002048,0.0002048,0.0002048
70,7390.07,0.71768,0.22719,0.0008,0.95142,0.89439,0.96033,0.76281,0.82705,0.43459,0.00124,0.0001784,0.0001784,0.0001784
71,7494.45,0.71134,0.22046,0.00079,0.91943,0.93449,0.96131,0.76269,0.82177,0.43481,0.00123,0.000152,0.000152,0.000152
72,7598.9,0.72026,0.22817,0.0008,0.93969,0.91234,0.96096,0.76541,0.82177,0.43908,0.00124,0.0001256,0.0001256,0.0001256
73,7702.99,0.71789,0.22231,0.00079,0.94004,0.91654,0.96128,0.76268,0.82259,0.42988,0.00125,9.92e-05,9.92e-05,9.92e-05
74,7806.29,0.70922,0.22213,0.00078,0.92315,0.93071,0.96135,0.76477,0.82301,0.42782,0.00124,7.28e-05,7.28e-05,7.28e-05
75,7908.49,0.70857,0.21957,0.00078,0.9383,0.91339,0.96067,0.76204,0.82225,0.43424,0.00124,4.64e-05,4.64e-05,4.64e-05
