epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6593,1.53249,10.802,0.00174,0.7212,0.67906,0.77192,0.45939,1.25357,7.88353,0.00217,0.000663317,0.000663317,0.000663317
2,107.067,1.38348,5.22455,0.00155,0.71954,0.79843,0.80573,0.47956,1.27822,4.11753,0.00231,0.00131243,0.00131243,0.00131243
3,159.404,1.36282,2.64151,0.00147,0.7365,0.81311,0.85743,0.53673,1.24684,2.32486,0.00219,0.00194394,0.00194394,0.00194394
4,221.433,1.32691,1.7441,0.00148,0.76844,0.81409,0.86022,0.51006,1.41167,1.65076,0.00269,0.0019208,0.0019208,0.0019208
5,275.536,1.29892,1.18791,0.00143,0.83726,0.84569,0.9111,0.60308,1.18705,1.12129,0.00215,0.0018944,0.0018944,0.0018944
6,327.199,1.25429,0.93007,0.00135,0.83651,0.84442,0.90733,0.58014,1.30153,0.99096,0.00254,0.001868,0.001868,0.001868
7,377.553,1.22622,0.77702,0.0013,0.83412,0.82975,0.90912,0.60489,1.23321,0.864,0.00222,0.0018416,0.0018416,0.0018416
8,434.58,1.21683,0.69248,0.00132,0.85169,0.83721,0.91328,0.61339,1.22735,0.7894,0.00216,0.0018152,0.0018152,0.0018152
9,489.346,1.20724,0.64963,0.00129,0.8356,0.89023,0.92525,0.62396,1.18698,0.72396,0.00211,0.0017888,0.0017888,0.0017888
10,540.076,1.17679,0.5984,0.00127,0.835,0.85225,0.907,0.60253,1.22796,0.78055,0.00224,0.0017624,0.0017624,0.0017624
11,589.276,1.1732,0.58625,0.00126,0.85541,0.88063,0.93231,0.61201,1.24419,0.68945,0.00221,0.001736,0.001736,0.001736
12,638.956,1.15658,0.56011,0.00121,0.84385,0.9227,0.94204,0.61509,1.24517,0.64902,0.00227,0.0017096,0.0017096,0.0017096
13,689.412,1.14322,0.51617,0.00121,0.884,0.8865,0.94361,0.6398,1.20244,0.62025,0.00215,0.0016832,0.0016832,0.0016832
14,740.212,1.11803,0.50502,0.00121,0.87912,0.86008,0.93641,0.63381,1.16699,0.62216,0.00209,0.0016568,0.0016568,0.0016568
15,789.98,1.12611,0.50473,0.00114,0.87744,0.92469,0.94954,0.62226,1.23289,0.61496,0.00215,0.0016304,0.0016304,0.0016304
16,841.346,1.10772,0.47908,0.00113,0.8848,0.89432,0.95048,0.63956,1.17643,0.59407,0.00211,0.001604,0.001604,0.001604
17,891.93,1.10135,0.4542,0.00118,0.86908,0.91587,0.95196,0.64289,1.1895,0.57829,0.00216,0.0015776,0.0015776,0.0015776
18,942.458,1.10145,0.448,0.00116,0.89283,0.88845,0.95183,0.65012,1.15646,0.5498,0.00205,0.0015512,0.0015512,0.0015512
19,992.054,1.09334,0.44091,0.00114,0.89407,0.93317,0.96497,0.6503,1.18948,0.54475,0.00217,0.0015248,0.0015248,0.0015248
20,1042.57,1.06061,0.4209,0.00112,0.89206,0.89335,0.94733,0.63841,1.19539,0.58462,0.00215,0.0014984,0.0014984,0.0014984
21,1094.15,1.05944,0.43014,0.0011,0.90915,0.92047,0.95648,0.64542,1.15271,0.55112,0.00206,0.001472,0.001472,0.001472
22,1145.73,1.05286,0.42653,0.0011,0.90139,0.91235,0.95868,0.66298,1.14065,0.53345,0.00206,0.0014456,0.0014456,0.0014456
23,1197.6,1.05014,0.41567,0.00113,0.89305,0.91781,0.95113,0.63813,1.21996,0.55176,0.00231,0.0014192,0.0014192,0.0014192
24,1250.04,1.04383,0.41754,0.00112,0.92045,0.90313,0.95761,0.66631,1.11518,0.52937,0.00202,0.0013928,0.0013928,0.0013928
25,1302.88,1.0155,0.41487,0.00107,0.87543,0.92834,0.95673,0.66311,1.11603,0.57078,0.00199,0.0013664,0.0013664,0.0013664
26,1356.39,1.05218,0.41192,0.00109,0.8737,0.91381,0.95007,0.62724,1.22354,0.58026,0.00225,0.00134,0.00134,0.00134
27,1410.03,1.05026,0.40016,0.0011,0.88519,0.90411,0.95289,0.63929,1.19329,0.57669,0.00211,0.0013136,0.0013136,0.0013136
28,1463.45,1.04818,0.40299,0.00108,0.9058,0.86888,0.95186,0.62942,1.24877,0.58772,0.00228,0.0012872,0.0012872,0.0012872
29,1517.41,1.01389,0.39499,0.00104,0.87934,0.92564,0.95351,0.6549,1.1158,0.55615,0.00197,0.0012608,0.0012608,0.0012608
30,1570.93,1.01734,0.39592,0.00108,0.90866,0.91781,0.9596,0.64318,1.19746,0.55809,0.00216,0.0012344,0.0012344,0.0012344
31,1624.51,1.01826,0.38105,0.00105,0.92977,0.93738,0.9662,0.66176,1.13828,0.48332,0.00201,0.001208,0.001208,0.001208
32,1677.96,1.02518,0.38017,0.00106,0.89347,0.91781,0.94708,0.64155,1.1545,0.56611,0.00208,0.0011816,0.0011816,0.0011816
33,1731.04,1.00001,0.36767,0.00104,0.90448,0.91731,0.95827,0.66865,1.13114,0.52315,0.00201,0.0011552,0.0011552,0.0011552
34,1786.68,0.97814,0.36983,0.00104,0.8804,0.93633,0.96232,0.66374,1.12776,0.5222,0.00202,0.0011288,0.0011288,0.0011288
35,1844.08,0.99861,0.36248,0.00106,0.88646,0.92436,0.956,0.65533,1.14488,0.53726,0.00207,0.0011024,0.0011024,0.0011024
36,1904.58,0.98313,0.3501,0.001,0.90234,0.89499,0.95424,0.65214,1.12938,0.56151,0.00196,0.001076,0.001076,0.001076
37,1956.95,0.96817,0.35191,0.00098,0.89652,0.93346,0.95883,0.63526,1.21023,0.51766,0.00219,0.0010496,0.0010496,0.0010496
