epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.2011,1.05018,0.35216,0.00114,0.92984,0.92528,0.96645,0.71031,1.04486,0.42568,0.0016,0.000663415,0.000663415,0.000663415
2,126.173,1.12712,0.38634,0.00123,0.90026,0.90184,0.95077,0.68331,1.09256,0.58117,0.00174,0.00131252,0.00131252,0.00131252
3,188.513,1.17557,0.39687,0.00127,0.91534,0.91654,0.95485,0.67625,1.12687,0.48467,0.00178,0.00194403,0.00194403,0.00194403
4,250.738,1.17146,0.39886,0.00128,0.91026,0.91586,0.9625,0.68186,1.12567,0.44875,0.00176,0.0019208,0.0019208,0.0019208
5,312.656,1.19942,0.4084,0.00133,0.91222,0.93228,0.96208,0.67735,1.16386,0.47401,0.00189,0.0018944,0.0018944,0.0018944
6,373.288,1.19673,0.39846,0.00128,0.92307,0.95118,0.96869,0.68988,1.13194,0.43323,0.0018,0.001868,0.001868,0.001868
7,434.468,1.18376,0.38998,0.00129,0.92021,0.93596,0.9663,0.67534,1.16897,0.4492,0.00188,0.0018416,0.0018416,0.0018416
8,495.988,1.14479,0.3765,0.00124,0.90217,0.91811,0.96317,0.69172,1.07698,0.46734,0.00168,0.0018152,0.0018152,0.0018152
9,556.172,1.15644,0.38195,0.00121,0.9152,0.93911,0.96769,0.68672,1.12644,0.4339,0.00178,0.0017888,0.0017888,0.0017888
10,616.578,1.153,0.37668,0.00124,0.92707,0.92703,0.96276,0.69619,1.05913,0.44773,0.00161,0.0017624,0.0017624,0.0017624
11,677.21,1.13164,0.37268,0.00122,0.92164,0.92126,0.95615,0.69316,1.07527,0.41689,0.0017,0.001736,0.001736,0.001736
12,742.265,1.12615,0.36469,0.0012,0.91836,0.93386,0.96615,0.67881,1.114,0.46311,0.00176,0.0017096,0.0017096,0.0017096
13,803.936,1.12244,0.36544,0.00119,0.92557,0.93347,0.96843,0.70874,nan,nan,nan,0.0016832,0.0016832,0.0016832
14,865.872,1.0964,0.34958,0.00118,0.91644,0.93176,0.96421,0.70298,1.05446,0.43824,0.00169,0.0016568,0.0016568,0.0016568
15,927.228,1.08052,0.35501,0.00115,0.92706,0.91864,0.96497,0.6986,1.07523,0.45612,0.00166,0.0016304,0.0016304,0.0016304
16,989.368,1.09185,0.36309,0.00116,0.91119,0.9317,0.96526,0.70218,1.06605,0.43244,0.00167,0.001604,0.001604,0.001604
17,1051.22,1.06951,0.35625,0.00114,0.93437,0.93421,0.96892,0.71035,1.03419,0.3957,0.00158,0.0015776,0.0015776,0.0015776
18,1112.97,1.07198,0.35018,0.00114,0.92716,0.92204,0.96516,0.69924,1.06918,0.43054,0.00166,0.0015512,0.0015512,0.0015512
19,1177.18,1.06696,0.33684,0.00113,0.91536,0.93665,0.9672,0.68954,1.11627,0.42911,0.00178,0.0015248,0.0015248,0.0015248
20,1242.73,1.08371,0.35175,0.00112,0.93216,0.90866,0.95504,0.66943,1.14992,0.50606,0.00185,0.0014984,0.0014984,0.0014984
21,1308.63,1.05947,0.33831,0.00112,0.93355,0.92703,0.96831,0.71702,1.01784,0.41902,0.00159,0.001472,0.001472,0.001472
22,1373.96,1.07298,0.33487,0.00112,0.94424,0.92447,0.97014,0.71011,1.03771,0.41593,0.00159,0.0014456,0.0014456,0.0014456
23,1440.02,1.04124,0.32649,0.00107,0.92675,0.93281,0.96756,0.7132,1.02038,0.43261,0.00158,0.0014192,0.0014192,0.0014192
24,1504.89,1.04493,0.3359,0.00107,0.93304,0.92889,0.97019,0.72858,0.99954,0.41221,0.00152,0.0013928,0.0013928,0.0013928
25,1570.35,1.03372,0.32552,0.00108,0.91641,0.92913,0.96883,0.72019,1.0041,0.42086,0.00157,0.0013664,0.0013664,0.0013664
26,1637.26,1.022,0.31864,0.00106,0.92321,0.94016,0.97096,0.70712,1.06382,0.43209,0.00166,0.00134,0.00134,0.00134
27,1703.03,1.02498,0.3269,0.00104,0.93169,0.93081,0.96961,0.7219,1.01476,0.42273,0.00155,0.0013136,0.0013136,0.0013136
28,1767.84,1.00434,0.31812,0.00106,0.93714,0.92861,0.96044,0.70679,1.03562,0.42321,0.00162,0.0012872,0.0012872,0.0012872
29,1833.26,0.99494,0.31027,0.00105,0.92396,0.93764,0.96918,0.72138,1.01243,0.3959,0.00156,0.0012608,0.0012608,0.0012608
30,1898.9,0.99621,0.31033,0.00103,0.93204,0.92864,0.96919,0.72523,1.00763,0.41793,0.00153,0.0012344,0.0012344,0.0012344
31,1964.1,1.0005,0.31333,0.00104,0.92639,0.93808,0.97045,0.72591,0.97773,0.39016,0.0015,0.001208,0.001208,0.001208
32,2029.29,0.99505,0.31339,0.00104,0.92659,0.92808,0.96849,0.70661,1.05523,0.43793,0.00164,0.0011816,0.0011816,0.0011816
33,2094.26,1.01589,0.30594,0.00104,0.91188,0.91808,0.9648,0.68859,1.09888,0.50155,0.00181,0.0011552,0.0011552,0.0011552
34,2159.64,0.9913,0.30609,0.00105,0.93349,0.92839,0.97013,0.7376,0.94645,0.37431,0.0014,0.0011288,0.0011288,0.0011288
35,2224.84,0.96889,0.30743,0.00099,0.92018,0.93963,0.9706,0.7346,0.9596,0.39606,0.00146,0.0011024,0.0011024,0.0011024
36,2289.54,0.97813,0.30511,0.001,0.93503,0.93858,0.97223,0.74147,0.94601,0.38472,0.00143,0.001076,0.001076,0.001076
37,2354.93,0.9632,0.29877,0.00097,0.92968,0.93281,0.9685,0.72824,0.98205,0.41581,0.00152,0.0010496,0.0010496,0.0010496
38,2420,0.95623,0.29994,0.00099,0.93323,0.92861,0.9617,0.7182,0.99419,0.45395,0.00152,0.0010232,0.0010232,0.0010232
39,2485.4,0.95147,0.29085,0.00098,0.92517,0.91549,0.95753,0.72076,0.98739,0.45762,0.00153,0.0009968,0.0009968,0.0009968
40,2550.46,0.94627,0.29501,0.00096,0.92853,0.92754,0.96875,0.7296,0.9814,0.40614,0.00152,0.0009704,0.0009704,0.0009704
41,2616.14,0.95113,0.29449,0.00096,0.93647,0.92388,0.97105,0.73496,0.95636,0.42127,0.00143,0.000944,0.000944,0.000944
42,2680.96,0.93401,0.28799,0.00095,0.93302,0.9286,0.97073,0.7292,0.95752,0.42606,0.00146,0.0009176,0.0009176,0.0009176
43,2745.45,0.93004,0.29182,0.00094,0.93148,0.93858,0.97217,0.72767,0.97603,0.39634,0.00151,0.0008912,0.0008912,0.0008912
44,2810.83,0.92913,0.28761,0.00095,0.92747,0.93301,0.96265,0.72458,0.9797,0.42468,0.00152,0.0008648,0.0008648,0.0008648
45,2875.96,0.91295,0.2833,0.00095,0.91758,0.93806,0.97106,0.72915,0.97244,0.42306,0.00151,0.0008384,0.0008384,0.0008384
46,2941.03,0.90367,0.27899,0.00091,0.92513,0.93402,0.97083,0.74972,0.90867,0.40199,0.00137,0.000812,0.000812,0.000812
47,3006.25,0.90241,0.2736,0.00093,0.92831,0.94803,0.97114,0.73294,0.96779,0.39824,0.0015,0.0007856,0.0007856,0.0007856
48,3071.67,0.90412,0.27686,0.00093,0.92938,0.94961,0.97253,0.73119,0.97926,0.3982,0.00151,0.0007592,0.0007592,0.0007592
49,3137.26,0.90721,0.28273,0.00093,0.93441,0.93281,0.97147,0.73611,0.95064,0.39983,0.00143,0.0007328,0.0007328,0.0007328
50,3203.02,0.89604,0.27656,0.0009,0.93678,0.93228,0.97132,0.71889,1.00231,0.44819,0.00156,0.0007064,0.0007064,0.0007064
51,3268.37,0.88585,0.2747,0.00089,0.91847,0.95853,0.97277,0.73813,0.93884,0.40053,0.00143,0.00068,0.00068,0.00068
52,3333.96,0.87837,0.26854,0.00089,0.9177,0.94908,0.97057,0.73993,0.93436,0.41991,0.00141,0.0006536,0.0006536,0.0006536
53,3402.05,0.88827,0.27082,0.00089,0.93548,0.94856,0.97264,0.74719,0.91707,0.38759,0.00139,0.0006272,0.0006272,0.0006272
54,3467.16,0.86265,0.26559,0.00087,0.92982,0.93281,0.97207,0.75143,0.89554,0.39962,0.00134,0.0006008,0.0006008,0.0006008
55,3532.77,0.86738,0.26602,0.00087,0.93113,0.93018,0.97003,0.74739,0.91126,0.40425,0.00138,0.0005744,0.0005744,0.0005744
56,3598.41,0.86363,0.26489,0.00086,0.93635,0.93445,0.97148,0.74801,0.9032,0.395,0.00134,0.000548,0.000548,0.000548
57,3663.6,0.85912,0.27093,0.00086,0.926,0.92651,0.96959,0.74726,0.91355,0.41389,0.00137,0.0005216,0.0005216,0.0005216
58,3729.79,0.83293,0.26052,0.00085,0.93387,0.92662,0.97179,0.75224,0.90205,0.41854,0.00135,0.0004952,0.0004952,0.0004952
59,3796.8,0.84723,0.25473,0.00086,0.93898,0.929,0.97251,0.74051,0.93839,0.42647,0.0014,0.0004688,0.0004688,0.0004688
60,3863.93,0.83195,0.25707,0.00082,0.92919,0.93682,0.96269,0.7556,0.88736,0.42435,0.00132,0.0004424,0.0004424,0.0004424
61,3929.45,0.84145,0.25356,0.00085,0.92778,0.93738,0.97138,0.75041,0.90369,0.42582,0.00135,0.000416,0.000416,0.000416
62,3994.3,0.83446,0.25855,0.00081,0.93248,0.93858,0.97258,0.75116,0.90255,0.41269,0.00135,0.0003896,0.0003896,0.0003896
63,4060.12,0.815,0.25345,0.00084,0.94235,0.92283,0.96292,0.75231,0.89051,0.43411,0.00135,0.0003632,0.0003632,0.0003632
64,4125.79,0.821,0.25665,0.0008,0.92548,0.93386,0.96236,0.75406,0.87896,0.42863,0.00132,0.0003368,0.0003368,0.0003368
65,4190.72,0.82016,0.24712,0.00083,0.93125,0.93228,0.96318,0.75236,0.87805,0.43113,0.00131,0.0003104,0.0003104,0.0003104
