epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1576.16,1.04912,0.36045,0.00108,0.89218,0.9002,0.95288,0.64909,1.17484,0.53783,0.0021,0.0009176,0.0009176,0.0009176
43,1619.65,1.0613,0.36257,0.00111,0.90563,0.8953,0.94748,0.63005,1.23252,0.55646,0.00219,0.0008912,0.0008912,0.0008912
44,1658.66,1.05349,0.35791,0.00108,0.91101,0.91194,0.94883,0.64757,1.1745,0.53464,0.00204,0.0008648,0.0008648,0.0008648
45,1696.35,1.04389,0.35201,0.00105,0.89505,0.90122,0.94573,0.65724,1.15272,0.54969,0.00195,0.0008384,0.0008384,0.0008384
46,1734.81,1.0387,0.3473,0.00104,0.89726,0.89724,0.94,0.64351,1.17176,0.57719,0.00203,0.000812,0.000812,0.000812
47,1773.41,1.01981,0.35329,0.00103,0.87148,0.91096,0.93741,0.63422,1.20184,0.59299,0.00212,0.0007856,0.0007856,0.0007856
48,1812.47,1.01843,0.34771,0.00105,0.90435,0.91487,0.95033,0.63641,1.20243,0.53773,0.00213,0.0007592,0.0007592,0.0007592
49,1850.59,1.00679,0.33719,0.001,0.89223,0.90732,0.93872,0.6316,1.22389,0.58391,0.00217,0.0007328,0.0007328,0.0007328
50,1888.41,1.00837,0.34067,0.00101,0.91771,0.90215,0.94288,0.65724,1.15547,0.56088,0.00203,0.0007064,0.0007064,0.0007064
51,1926.5,1.01608,0.34528,0.00102,0.89352,0.91194,0.94118,0.64801,1.19041,0.56634,0.00211,0.00068,0.00068,0.00068
52,1967.2,0.98751,0.33543,0.00101,0.92501,0.89317,0.95102,0.65702,1.1727,0.54095,0.00202,0.0006536,0.0006536,0.0006536
53,2009.71,0.97102,0.32753,0.00097,0.91813,0.89983,0.94324,0.64974,1.18678,0.55612,0.0021,0.0006272,0.0006272,0.0006272
54,2052.29,0.97593,0.3305,0.00099,0.91505,0.8959,0.93946,0.6453,1.18407,0.57939,0.00207,0.0006008,0.0006008,0.0006008
55,2090.78,0.98313,0.33043,0.00099,0.91455,0.9006,0.94185,0.64162,1.20102,0.56716,0.00214,0.0005744,0.0005744,0.0005744
56,2131.08,0.98549,0.33615,0.00099,0.91151,0.89707,0.9417,0.64508,1.1963,0.56715,0.00208,0.000548,0.000548,0.000548
57,2171.8,0.97774,0.33007,0.001,0.92699,0.8865,0.9403,0.64872,1.17771,0.57333,0.00207,0.0005216,0.0005216,0.0005216
58,2210.75,0.95945,0.32791,0.00096,0.91588,0.89237,0.94276,0.65127,1.18056,0.56436,0.00205,0.0004952,0.0004952,0.0004952
