epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9302,1.61283,2.01545,0.00189,0.86041,0.84638,0.92177,0.55193,1.41492,0.9379,0.00258,0.000663317,0.000663317,0.000663317
2,106.917,1.50724,0.76442,0.00174,0.8859,0.8816,0.93791,0.57444,1.38156,0.72998,0.00255,0.00131243,0.00131243,0.00131243
3,156.959,1.49487,0.68708,0.0017,0.8688,0.89413,0.9406,0.55734,1.47587,0.70456,0.00265,0.00194394,0.00194394,0.00194394
4,208.792,1.43085,0.64192,0.00166,0.90413,0.91354,0.95997,0.58602,1.39544,0.54696,0.00254,0.0019208,0.0019208,0.0019208
5,262.045,1.37874,0.5507,0.00159,0.86253,0.9086,0.93913,0.56871,1.42039,0.69383,0.00249,0.0018944,0.0018944,0.0018944
6,315.238,1.35718,0.56124,0.0015,0.90033,0.89237,0.94609,0.58586,1.37281,0.65618,0.00249,0.001868,0.001868,0.001868
7,367.967,1.30559,0.53244,0.00143,0.89453,0.9046,0.94845,0.61579,1.32223,0.5801,0.00241,0.0018416,0.0018416,0.0018416
8,420.464,1.30338,0.4803,0.00147,0.87549,0.91505,0.94664,0.61817,1.28954,0.5661,0.00232,0.0018152,0.0018152,0.0018152
9,472.58,1.26087,0.46305,0.00137,0.86197,0.87379,0.92831,0.62419,1.24503,0.65656,0.0022,0.0017888,0.0017888,0.0017888
10,525.228,1.23988,0.45924,0.00135,0.88422,0.92665,0.95856,0.62121,1.28907,0.57511,0.00238,0.0017624,0.0017624,0.0017624
11,576.668,1.23796,0.44445,0.00137,0.88921,0.90315,0.94685,0.62946,1.22961,0.63128,0.0022,0.001736,0.001736,0.001736
12,629.773,1.22691,0.46583,0.00129,0.8946,0.91359,0.94881,0.63373,1.27295,0.53042,0.00221,0.0017096,0.0017096,0.0017096
13,682.389,1.17982,0.43618,0.00126,0.89672,0.91096,0.95656,0.63699,1.24836,0.59148,0.00229,0.0016832,0.0016832,0.0016832
14,734.554,1.19908,0.45388,0.00135,0.88068,0.86663,0.91524,0.61256,1.25502,0.81056,0.00227,0.0016568,0.0016568,0.0016568
15,787.078,1.19336,0.43497,0.00125,0.89107,0.93053,0.95716,0.63189,1.27042,0.53459,0.00223,0.0016304,0.0016304,0.0016304
16,838.618,1.15207,0.41308,0.00123,0.92296,0.91434,0.96384,0.6446,1.25339,0.55325,0.00222,0.001604,0.001604,0.001604
17,890.633,1.14999,0.3962,0.00124,0.90046,0.94227,0.96311,0.64242,1.22789,0.56391,0.0022,0.0015776,0.0015776,0.0015776
18,944.133,1.15953,0.40097,0.00125,0.9019,0.93346,0.96088,0.64491,1.24318,0.53436,0.0022,0.0015512,0.0015512,0.0015512
19,995.627,1.12061,0.39289,0.00122,0.90494,0.93933,0.96236,0.63731,1.27997,0.54886,0.00229,0.0015248,0.0015248,0.0015248
